id,host_is_superhost,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,accommodates,minimum_nights,maximum_nights,instant_bookable,availability_365,price,number_of_reviews,reviews_per_month,review_scores_rating,survived,bathrooms,host_tenure_days,has_wifi,has_kitchen,has_air_conditioning,has_heating,bedrooms,beds,is_entire_place,is_private_room,is_hotel_room
707387247707544652,0.0,1.0,41.0,1.0,2,2,365,1,349,132.0,3,0.91,4.67,0,1.0,214.0,1,1,1,0,1.0,1.0,1,0,0
707401869646356231,0.0,1.0,41.0,1.0,8,2,365,1,349,187.0,3,0.52,4.67,0,2.0,214.0,1,1,1,1,2.0,4.0,1,0,0
707408182981427602,0.0,1.0,41.0,1.0,4,2,365,1,347,139.0,3,1.48,4.33,0,2.0,214.0,1,1,1,1,2.0,2.0,1,0,0
707411212735640411,0.0,1.0,41.0,1.0,6,2,365,1,355,133.0,1,0.91,5.0,0,2.0,214.0,1,1,1,1,2.0,2.0,1,0,0
707411520643689982,0.0,0.88,3.0,1.0,4,28,31,1,22,799.0,1,1.0,5.0,1,2.0,3508.0,1,1,1,1,2.0,2.0,1,0,0
707681041816006608,1.0,1.0,9.0,1.0,4,2,365,0,90,136.0,21,3.73,4.57,0,2.0,2675.0,1,1,1,1,2.0,3.0,1,0,0
707780834033034510,1.0,1.0,37.0,1.0,6,1,365,0,26,199.0,16,2.62,4.94,1,2.0,209.0,1,1,1,1,3.0,4.0,1,0,0
707851021666715084,0.0,0.97,2.0,1.0,6,3,14,0,135,156.0,17,2.71,4.76,0,2.0,210.0,1,1,1,1,3.0,3.0,1,0,0
707857554814153135,0.0,1.0,1.0,1.0,3,1,365,0,363,207.0,0,0.0,4.93,0,1.0,320.0,1,1,1,1,1.0,2.0,1,0,0
707883735608282838,0.0,0.99,29.0,1.0,4,1,365,0,343,192.0,28,4.69,4.71,1,1.0,2678.0,1,1,1,1,1.0,2.0,1,0,0
707949541251593007,1.0,1.0,1.0,1.0,6,2,365,1,133,137.0,23,4.04,4.87,0,2.0,209.0,1,1,1,1,2.0,3.0,1,0,0
707957294435886188,0.0,1.0,1.0,1.0,4,3,90,0,357,195.0,10,1.59,5.0,1,1.0,2627.0,1,1,1,1,2.0,2.0,1,0,0
707975399724103689,0.0,0.99,1.0,1.0,4,2,365,1,364,1000.0,0,0.0,4.93,1,1.5,209.0,1,1,1,0,1.0,2.0,1,0,0
708008829905163885,1.0,1.0,1.0,1.0,5,1,27,0,205,174.0,16,2.59,5.0,1,2.0,209.0,1,1,1,1,2.0,2.0,1,0,0
708046815145118061,1.0,1.0,37.0,1.0,4,1,365,1,52,174.0,41,6.0,4.85,1,1.0,209.0,1,1,1,1,2.0,2.0,1,0,0
708057785127788776,0.0,1.0,1.0,1.0,2,3,10,0,0,350.0,0,0.0,4.93,1,1.0,1338.0,1,0,1,1,1.0,1.0,1,0,0
708078104415593278,1.0,1.0,6.0,1.0,4,2,365,1,308,204.0,29,5.18,4.86,0,1.0,868.0,1,1,1,0,2.0,1.0,1,0,0
708125072028598751,1.0,1.0,88.0,1.0,6,1,365,1,362,126.0,17,2.7,4.94,1,2.0,2847.0,1,1,1,1,2.0,3.0,1,0,0
708130077838307371,1.0,1.0,88.0,1.0,2,1,365,1,362,111.0,21,3.52,4.9,1,1.0,2847.0,1,1,1,1,2.0,1.0,1,0,0
708150981879093461,0.0,0.33,1.0,1.0,4,30,365,0,131,73.0,0,0.0,4.93,0,1.0,3503.0,1,1,1,0,1.0,1.0,1,0,0
708181611213123633,1.0,1.0,9.0,1.0,8,10,365,0,208,178.0,1,0.28,5.0,1,3.0,1831.0,1,1,1,1,5.0,7.0,1,0,0
708436847296093977,0.0,0.86,1.0,1.0,1,1,7,0,67,58.0,1,1.0,5.0,0,1.0,3660.0,1,0,1,1,1.0,1.0,0,1,0
708472208339167218,1.0,0.98,2.0,1.0,8,2,360,1,203,315.0,16,3.0,5.0,1,2.0,3403.0,1,1,1,1,3.0,4.0,1,0,0
708534930610364757,0.0,1.0,1.0,1.0,8,2,120,1,189,235.0,4,0.73,4.5,1,3.0,2072.0,1,1,1,0,3.0,3.0,1,0,0
